,width,lenght,weight
0,-24,-2,-15
1,-32,26,296
2,-62,-81,94
3,-48,-300,-112
4,-37,58,102
5,121,-55,117
6,167,31,-178
7,36,-67,-17
8,-4,-46,-36
9,64,-113,-39
10,176,74,-72
11,-141,-30,-38
12,40,108,-42
13,-22,-76,-163
14,144,-79,-66
15,-208,223,-183
16,-85,20,48
17,-79,107,-144
18,7,110,85
19,-55,22,19
20,50,-100,5
21,61,39,-22
22,120,-255,-42
23,84,148,48
24,-325,-120,95
25,119,33,-156
26,111,32,-8
27,49,-143,55
28,-131,-98,-178
29,-197,36,63
30,49,-31,36
31,38,141,120
32,-26,41,17
33,9,127,142
34,178,-9,-40
35,107,3,93
36,-258,74,-99
37,-11,-6,84
38,-101,34,26
39,-261,60,-118
40,109,125,59
41,21,-193,-41
42,74,18,-89
43,0,100,154
44,-146,62,34
45,50,50,-159
46,30,-54,26
47,28,55,-53
48,-100,-41,33
49,-97,-104,136
50,88,-70,-32
51,97,218,14
52,72,-45,106
53,63,158,-43
54,-5,23,67
55,144,-212,126
56,67,82,-233
57,111,53,-93
58,-5,-14,-9
59,-74,43,90
60,-149,73,-113
61,-147,-27,-78
62,73,-181,-15
63,73,-29,-136
64,-71,-109,-1
65,87,-63,160
66,-95,40,12
67,-188,118,-9
68,-61,198,-45
69,-85,14,-15
70,83,-78,-95
71,-95,-4,101
72,-7,-67,-142
73,15,-22,-198
74,-4,-92,158
75,-240,142,-125
76,-2,56,27
77,-17,-96,-36
78,182,157,45
79,-83,181,-147
80,80,1,-122
81,153,42,33
82,-67,-3,-64
83,64,-170,-72
84,33,-16,-77
85,-16,13,-84
86,45,11,65
87,85,123,-166
88,123,-136,-191
89,138,46,43
90,-182,-21,-131
91,30,95,-72
92,127,-55,93
93,95,-11,35
94,-150,65,-29
95,78,-16,-83
96,1,50,-105
97,136,84,-36
98,-121,-68,40
99,31,39,26
100,-94,-71,-10
101,-28,39,-130
102,-40,-99,-20
103,83,49,94
104,5,141,-190
105,-153,-75,30
106,122,-90,-9
107,22,-140,-27
108,-59,106,-59
109,-99,20,125
110,-53,200,342
111,13,5,50
112,28,-51,-5
113,-81,-162,90
114,106,-97,-58
115,-106,49,49
116,66,111,-147
117,5,-93,-125
118,0,-23,-29
119,12,-72,-55
120,2,19,-64
121,-77,-159,-209
122,-104,-86,205
123,31,-206,-7
124,55,-7,17
125,-22,74,63
126,111,-82,14
127,-39,30,-73
128,-166,-74,11
129,92,-224,-279
130,61,91,-98
131,164,54,-16
132,-164,-72,88
133,24,3,-15
134,-40,57,10
135,-83,38,-41
136,-51,115,-165
137,15,-125,32
138,26,242,53
139,183,-213,110
140,-2,-71,-61
141,108,-92,89
142,-20,-82,25
143,-201,-10,34
144,76,9,-145
145,-87,93,127
146,-7,-21,43
147,49,-32,70
148,28,82,-75
149,-52,-42,47
150,131,29,-16
151,32,-44,160
152,73,64,126
153,313,66,36
154,-3,-84,82
155,96,10,-1
156,79,-35,-7
157,-129,-53,104
158,-11,41,100
159,53,57,-127
160,123,-101,-23
161,5,-61,47
162,20,30,-137
163,-93,140,31
164,60,24,-88
165,192,-121,26
166,44,-102,114
167,-102,200,-21
168,3,-78,22
169,-17,25,45
170,70,62,55
171,0,-114,36
172,-199,-23,112
173,-55,2,-133
174,15,-133,-95
175,39,72,34
176,33,42,94
177,-57,-8,-146
178,73,2,-33
179,101,74,-32
180,-8,-149,-17
181,28,117,63
182,-109,-27,-40
183,-126,-49,41
184,-39,-113,-192
185,-56,69,76
186,13,59,66
187,-248,-193,-149
188,-74,97,-24
189,-140,-207,-124
190,-97,-50,173
191,16,229,61
192,178,43,181
193,-6,108,-296
194,-19,-147,5
195,-33,-82,-40
196,183,-70,-128
197,-161,134,-22
198,154,81,97
199,241,-34,33
200,0,-126,-30
201,-42,121,4
202,-32,-32,42
203,23,109,-122
204,154,-14,18
205,-47,-76,-53
206,-257,-59,33
207,-20,62,-72
208,4,-79,20
209,-141,158,128
210,-266,11,31
211,-59,-75,-29
212,-149,-55,43
213,-14,-77,-56
214,64,134,58
215,19,258,-3
216,-82,36,-127
217,-100,-8,116
218,-179,-290,54
219,67,1,-10
220,8,31,-78
221,-7,-18,63
222,-6,86,56
223,0,-94,-33
224,32,-139,-21
225,82,-108,-113
226,-50,96,97
227,76,125,-21
228,-38,82,95
229,83,-154,-112
230,-85,56,-53
231,-155,146,-113
232,111,34,-36
233,70,-44,34
234,-116,-51,-11
235,-8,70,-128
236,239,14,-33
237,-321,111,-45
238,-51,-69,17
239,2,88,-23
240,-53,5,27
241,1,7,96
