,Date,Persian_Date,Open,Low,High,Close
0,2023/07/26,1402/05/04,"491,550","488,700","491,600","488,990"
1,2023/07/25,1402/05/03,"484,470","483,900","488,900","488,370"
2,2023/07/24,1402/05/02,"480,700","480,100","486,400","486,140"
3,2023/07/23,1402/05/01,"485,060","481,600","485,400","483,360"
4,2023/07/22,1402/04/31,"487,830","485,600","487,900","485,810"
5,2023/07/20,1402/04/29,"484,360","482,600","486,900","486,370"
6,2023/07/19,1402/04/28,"488,370","484,600","488,400","484,700"
7,2023/07/18,1402/04/27,"484,670","484,600","490,700","488,170"
8,2023/07/17,1402/04/26,"483,870","483,600","488,400","488,180"
9,2023/07/16,1402/04/25,"488,400","483,100","488,400","483,700"
10,2023/07/15,1402/04/24,"491,720","487,900","493,900","488,390"
11,2023/07/13,1402/04/22,"492,860","491,600","492,900","492,610"
12,2023/07/12,1402/04/21,"491,160","489,600","493,400","492,430"
13,2023/07/11,1402/04/20,"494,630","490,400","494,900","491,460"
14,2023/07/10,1402/04/19,"498,730","496,600","498,900","498,290"
15,2023/07/09,1402/04/18,"494,640","494,410","499,900","499,670"
16,2023/07/08,1402/04/17,"501,970","496,400","502,200","499,900"
17,2023/07/06,1402/04/15,"502,040","500,900","503,200","503,130"
18,2023/07/05,1402/04/14,"499,030","498,400","501,400","500,950"
19,2023/07/04,1402/04/13,"502,140","498,300","502,200","500,750"
20,2023/07/03,1402/04/12,"503,210","501,400","503,400","502,000"
21,2023/07/02,1402/04/11,"500,810","498,600","500,900","499,340"
22,2023/07/01,1402/04/10,"492,660","492,600","498,400","498,220"
23,2023/06/28,1402/04/07,"492,600","490,600","492,900","492,230"
24,2023/06/27,1402/04/06,"499,320","492,600","499,400","492,820"
25,2023/06/26,1402/04/05,"498,200","495,600","499,900","497,810"
26,2023/06/25,1402/04/04,"501,560","497,410","502,200","499,400"
27,2023/06/24,1402/04/03,"500,370","497,500","508,680","508,610"
28,2023/06/22,1402/04/01,"495,600","494,100","497,400","497,130"
29,2023/06/21,1402/03/31,"486,680","485,600","488,900","485,730"
30,2023/06/28,1402/04/07,"492,600","490,600","492,900","492,230"
31,2023/06/27,1402/04/06,"499,320","492,600","499,400","492,820"
32,2023/06/26,1402/04/05,"498,200","495,600","499,900","497,810"
