last_up,last_down,last_right,last_left,food_up,food_down,food_left,food_right,dist_x_to_body,dist_y_to_body,dist_to_top_wall,dist_to_down_wall,dist_to_left_wall,dist_to_right_wall,Pear_center_x,Pear_center_y,Pear_to_top,Pear_to_bottom,Pear_to_right,Pear_to_left
0,0,0,0,0,0,0,1,0,0,400,400,400,400,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,408,392,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,416,384,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,424,376,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,432,368,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,440,360,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,448,352,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,456,344,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,464,336,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,472,328,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,480,320,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,488,312,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,496,304,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,504,296,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,512,288,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,520,280,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,528,272,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,536,264,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,544,256,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,552,248,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,560,240,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,568,232,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,576,224,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,584,216,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,592,208,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,600,200,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,608,192,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,616,184,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,624,176,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,632,168,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,640,160,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,648,152,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,656,144,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,664,136,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,672,128,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,680,120,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,688,112,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,696,104,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,704,96,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,712,88,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,720,80,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,728,72,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,736,64,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,744,56,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,752,48,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,760,40,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,768,32,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,776,24,792,48,752,48,8,792
0,0,1,0,0,0,0,1,0,0,400,400,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,408,392,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,416,384,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,424,376,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,432,368,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,440,360,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,448,352,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,456,344,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,464,336,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,472,328,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,480,320,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,488,312,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,496,304,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,504,296,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,512,288,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,520,280,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,528,272,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,536,264,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,544,256,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,552,248,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,560,240,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,568,232,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,576,224,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,584,216,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,592,208,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,600,200,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,608,192,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,616,184,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,624,176,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,632,168,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,640,160,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,648,152,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,656,144,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,664,136,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,672,128,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,680,120,784,16,792,48,752,48,8,792
0,1,0,0,0,0,0,1,0,0,688,112,784,16,792,48,752,48,8,792
